users_total,promo_signup_flag,cohort_month,month_offset
70,0,1/1/2025,0
58,0,1/1/2025,1
54,0,1/1/2025,2
52,0,1/1/2025,3
43,0,1/1/2025,4
39,0,1/1/2025,5
63,0,2/1/2025,0
46,0,2/1/2025,1
48,0,2/1/2025,2
49,0,2/1/2025,3
43,0,2/1/2025,4
51,0,3/1/2025,0
41,0,3/1/2025,1
47,0,3/1/2025,2
41,0,3/1/2025,3
61,0,4/1/2025,0
50,0,4/1/2025,1
47,0,4/1/2025,2
63,0,5/1/2025,0
55,0,5/1/2025,1
50,0,6/1/2025,0
34,1,1/1/2025,0
21,1,1/1/2025,1
17,1,1/1/2025,2
3,1,1/1/2025,3
6,1,1/1/2025,4
3,1,1/1/2025,5
41,1,2/1/2025,0
24,1,2/1/2025,1
17,1,2/1/2025,2
13,1,2/1/2025,3
8,1,2/1/2025,4
31,1,3/1/2025,0
18,1,3/1/2025,1
14,1,3/1/2025,2
11,1,3/1/2025,3
44,1,4/1/2025,0
24,1,4/1/2025,1
14,1,4/1/2025,2
45,1,5/1/2025,0
21,1,5/1/2025,1
47,1,6/1/2025,0
